# Current working directory (CWD): /Users/maestro/cse312/hw4/NaiveBayes
# Testing/training files loaded successfully.
# Training...
# Done training.
# Test results:
1.txt ham
2.txt spam
3.txt spam
4.txt ham
5.txt ham
6.txt spam
7.txt spam
8.txt ham
9.txt spam
10.txt ham
11.txt spam
12.txt spam
13.txt spam
14.txt ham
15.txt spam
16.txt ham
17.txt spam
18.txt ham
19.txt spam
20.txt spam
21.txt ham
22.txt ham
23.txt spam
24.txt ham
25.txt spam
26.txt spam
27.txt ham
28.txt spam
29.txt ham
30.txt ham
31.txt ham
32.txt spam
33.txt spam
34.txt spam
35.txt spam
36.txt ham
37.txt spam
38.txt spam
39.txt spam
40.txt ham
41.txt spam
42.txt ham
43.txt ham
44.txt spam
45.txt spam
46.txt ham
47.txt ham
48.txt spam
49.txt ham
50.txt spam
51.txt spam
52.txt spam
53.txt spam
54.txt ham
55.txt ham
56.txt ham
57.txt spam
58.txt spam
59.txt spam
60.txt spam
61.txt spam
62.txt ham
63.txt ham
64.txt ham
65.txt ham
66.txt ham
67.txt spam
68.txt spam
69.txt ham
70.txt ham
71.txt ham
72.txt ham
73.txt ham
74.txt spam
75.txt spam
76.txt ham
77.txt ham
78.txt ham
79.txt ham
80.txt ham
81.txt ham
82.txt spam
83.txt spam
84.txt spam
85.txt ham
86.txt spam
87.txt ham
88.txt spam
89.txt spam
90.txt spam
91.txt ham
92.txt ham
93.txt spam
94.txt spam
95.txt spam
96.txt spam
97.txt ham
98.txt ham
99.txt ham
100.txt spam
101.txt spam
102.txt spam
103.txt ham
104.txt ham
105.txt ham
106.txt ham
107.txt spam
108.txt spam
109.txt ham
110.txt spam
111.txt spam
112.txt ham
113.txt spam
114.txt spam
115.txt spam
116.txt ham
117.txt ham
118.txt spam
119.txt ham
120.txt spam
121.txt spam
122.txt spam
123.txt spam
124.txt spam
125.txt ham
126.txt ham
127.txt spam
128.txt ham
129.txt spam
130.txt spam
131.txt spam
132.txt ham
133.txt ham
134.txt spam
135.txt spam
136.txt ham
137.txt spam
138.txt spam
139.txt ham
140.txt ham
141.txt ham
142.txt spam
143.txt ham
144.txt spam
145.txt spam
146.txt spam
147.txt spam
148.txt ham
149.txt ham
150.txt ham
151.txt ham
152.txt ham
153.txt spam
154.txt ham
